--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
091.795  000.098  000.098: require('luasnip.nodes.choiceNode')
091.912  000.113  000.113: require('luasnip.nodes.dynamicNode')
091.995  000.079  000.079: require('luasnip.util.functions')
092.002  001.000  000.085: require('luasnip.util.parser.ast_parser')
092.116  000.112  000.112: require('luasnip.util.parser.neovim_parser')
092.122  002.380  000.073: require('luasnip.util.parser')
092.188  000.064  000.064: require('luasnip.nodes.snippetProxy')
092.321  000.125  000.125: require('luasnip.util.jsonc')
092.431  000.050  000.050: require('luasnip.nodes.duplicate')
092.435  000.110  000.060: require('luasnip.loaders.snippet_cache')
092.445  002.847  000.120: require('luasnip.loaders.from_vscode')
092.728  000.074  000.074: require('vim.version')
099.085  000.183  000.183: require('luasnip.nodes.multiSnippet')
100.284  000.093  000.093: require('luasnip.loaders.from_lua')
110.779  000.082  000.082: require('Comment.config')
111.153  000.220  000.220: require('Comment.ft')
111.166  000.378  000.158: require('Comment.utils')
111.250  000.081  000.081: require('Comment.opfunc')
111.345  000.091  000.091: require('Comment.extra')
111.352  000.979  000.346: require('Comment.api')
111.510  001.254  000.276: sourcing /home/ronin/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
111.519  001.306  000.051: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
111.534  000.006  000.006: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
111.551  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
111.643  000.084  000.084: require('Comment')
112.118  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
112.135  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
112.382  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
112.397  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
113.141  000.069  000.069: require('notify.util.queue')
113.150  000.197  000.128: require('notify.util')
113.278  000.052  000.052: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
113.303  000.018  000.018: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
113.307  000.155  000.084: require('notify.config.highlights')
113.314  000.488  000.137: require('notify.config')
113.489  000.082  000.082: require('notify.stages')
113.591  000.098  000.098: require('notify.service.notification')
113.856  000.065  000.065: require('notify.animate.spring')
113.861  000.159  000.094: require('notify.animate')
113.867  000.272  000.113: require('notify.windows')
114.160  000.112  000.112: require('notify.service.buffer.highlights')
114.172  000.214  000.102: require('notify.service.buffer')
114.175  000.306  000.093: require('notify.service')
114.278  000.101  000.101: require('notify.stages.util')
114.284  000.967  000.107: require('notify.instance')
114.292  001.823  000.367: require('notify')
114.459  000.092  000.092: require('notify.stages.fade_in_slide_out')
114.504  000.014  000.014: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
114.514  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
114.917  000.324  000.324: sourcing /home/ronin/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
114.937  000.378  000.054: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
114.948  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
114.965  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
115.177  000.103  000.103: require('telescope._extensions')
115.215  000.236  000.133: require('telescope')
117.358  000.588  000.588: require('plenary.bit')
117.651  000.284  000.284: require('plenary.functional')
117.739  001.573  000.701: require('plenary.path')
117.766  001.798  000.225: require('plenary.strings')
118.018  000.250  000.250: require('telescope.deprecated')
119.239  000.507  000.507: require('plenary.log')
119.357  001.060  000.553: require('telescope.log')
121.117  000.463  000.463: require('plenary.compat')
121.162  001.351  000.887: require('plenary.job')
121.379  000.214  000.214: require('telescope.state')
121.468  002.106  000.542: require('telescope.utils')
121.499  003.477  000.310: require('telescope.sorters')
124.017  008.470  002.946: require('telescope.config')
124.223  000.062  000.062: require('plenary.window.border')
124.275  000.049  000.049: require('plenary.window')
124.321  000.042  000.042: require('plenary.popup.utils')
124.327  000.298  000.144: require('plenary.popup')
124.397  000.068  000.068: require('telescope.pickers.scroller')
124.462  000.062  000.062: require('telescope.actions.state')
124.528  000.062  000.062: require('telescope.actions.utils')
124.737  000.093  000.093: require('telescope.actions.mt')
124.775  000.245  000.152: require('telescope.actions.set')
125.002  000.136  000.136: require('telescope.config.resolve')
125.007  000.229  000.093: require('telescope.pickers.entry_display')
125.101  000.092  000.092: require('telescope.from_entry')
125.407  010.186  000.660: require('telescope.actions')
127.044  000.181  000.181: require('fzf_lib')
127.053  000.296  000.115: require('telescope._extensions.fzf')
127.505  000.042  000.042: require('plenary.tbl')
127.511  000.088  000.046: require('plenary.vararg.rotate')
127.513  000.133  000.045: require('plenary.vararg')
127.554  000.039  000.039: require('plenary.errors')
127.560  000.227  000.055: require('plenary.async.async')
127.729  000.041  000.041: require('plenary.async.structs')
127.737  000.092  000.051: require('plenary.async.control')
127.743  000.140  000.048: require('plenary.async.util')
127.745  000.183  000.043: require('plenary.async.tests')
127.748  000.468  000.057: require('plenary.async')
127.814  000.063  000.063: require('telescope.debounce')
127.998  000.180  000.180: require('telescope.mappings')
128.075  000.073  000.073: require('telescope.pickers.highlights')
128.135  000.056  000.056: require('telescope.pickers.window')
128.193  000.055  000.055: require('telescope.pickers.layout')
128.313  000.057  000.057: require('telescope.algos.linked_list')
128.318  000.122  000.066: require('telescope.entry_manager')
128.374  000.054  000.054: require('telescope.pickers.multi')
128.391  001.268  000.199: require('telescope.pickers')
128.607  000.151  000.151: require('telescope.make_entry')
128.674  000.064  000.064: require('telescope.finders.async_static_finder')
128.836  000.041  000.041: require('plenary.class')
128.900  000.167  000.126: require('telescope._')
128.904  000.226  000.060: require('telescope.finders.async_oneshot_finder')
128.990  000.085  000.085: require('telescope.finders.async_job_finder')
128.997  000.604  000.078: require('telescope.finders')
129.115  000.055  000.055: require('telescope.previewers.previewer')
129.266  000.076  000.076: require('telescope.previewers.utils')
129.324  000.206  000.130: require('telescope.previewers.term_previewer')
129.736  000.262  000.262: require('plenary.scandir')
129.785  000.459  000.196: require('telescope.previewers.buffer_previewer')
129.791  000.791  000.071: require('telescope.previewers')
129.799  002.739  000.076: require('telescope._extensions.notify')
129.852  000.049  000.049: require('custom.telescope-multigrep')
130.113  000.050  000.050: sourcing /home/ronin/.local/share/nvim/lazy/conform.nvim/plugin/conform.lua
130.121  000.098  000.048: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
130.148  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
130.164  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
130.612  000.339  000.339: require('conform')
130.700  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
130.714  000.003  000.003: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
131.195  000.057  000.057: require('lualine_require')
131.490  000.680  000.623: require('lualine')
132.239  000.018  000.018: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
132.951  000.077  000.077: require('catppuccin.utils.lualine')
133.013  000.058  000.058: require('catppuccin.palettes')
133.066  000.048  000.048: require('catppuccin.palettes.mocha')
133.490  000.015  000.015: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.512  000.006  000.006: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.670  000.007  000.007: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.688  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.700  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.713  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.728  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.738  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.791  000.006  000.006: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.804  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.816  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.826  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.838  000.005  000.005: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
133.847  000.004  000.004: sourcing nvim_exec2() called at /home/ronin/.config/nvim/init.lua:0
